Program Name,Program Type
"NYU Langone Dental Medicine - Hawaii, Oahu - Kalihi",Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Birmingham",Advanced Education in General Dentistry (12 months)
"Dept. of Veteran's Affairs Hospital, San Antonio",Advanced Education in General Dentistry (12 months)
Dental College of Georgia at Augusta University,Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Grady-Ben Massell,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Middletown, OH",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Tukwila/Seattle,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Tacoma, WA",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - US Virgin Islands - St. Croix,Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Fayetteville",Advanced Education in General Dentistry (12 months)
V.A. Long Beach Healthcare System/Tibor Rubin V.A. Medical Center,Advanced Education in General Dentistry (12 months)
University of Detroit Mercy,Advanced Education in General Dentistry (12 months)
Wichita State University,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Findlay, OH",Advanced Education in General Dentistry (12 months)
Tufts University - Maine,Advanced Education in General Dentistry (12 months)
Tufts University - Massachusetts,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Visalia, CA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Chicopee, MA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Boston/Cape Cod, MA - Harbor Health",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Pennsylvania - Scranton,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Waco, TX",Advanced Education in General Dentistry (12 months)
"Zablocki V.A. Great Lakes - Green Bay, WI",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine- Hawaii, Oahu - Waimanalo",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Southern Arizona, El Rio Health Center",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine- Hawaii, Maui - Wailuku",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine- Hawaii, Big Island - Keaau",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Federalsburg, MD",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Lynn, MA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Fitchburg, MA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Toledo, OH",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Greenville, OH",Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Albany",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Santa Fe, NM",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Snow Hill/Greenville, NC",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Louisville, KY",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Shingle Springs, CA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Rancho Mirage, CA",Advanced Education in General Dentistry (12 months)
"University of Florida, Hialeah",Advanced Education in General Dentistry (24 months)
"NYU Langone Dental Medicine - Naples/Immokalee, FL",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - LECOM/Bradenton, FL",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Springfield, MO",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine  - Dover, NJ",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Metropolitan, NY - Upper Manhattan",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Metropolitan - Sunset Terrace FHC of NYU Langone,Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Roseman University of Health Sciences College of Dental Medicine,Advanced Education in General Dentistry (12 months)
Columbia University College of Dental Medicine,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Minneapolis, MN (Apple Tree Dental)",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Metropolitan, Flatbush Avenue FHC of NYU Langone",Advanced Education in General Dentistry (12 months)
Idaho State University,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Metropolitan, 7th Avenue FHC of NYU Langone",Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Martinsburg, WV",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - FHC of Worcester - Worcester, MA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Edward M. Kennedy FHC - Worcester, MA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Southern Arizona, Pascua Yaqui Tribal Health Center",Advanced Education in General Dentistry (12 months)
St. Vincent Charity Medical Center,Advanced Education in General Dentistry (24 months)
"University of Tennessee Health Science Center, College of Dentistry, Nashville",Advanced Education in General Dentistry (12 months)
Penobscot Community Dental Clinic,Advanced Education in General Dentistry (12 months)
"V.A. Hudson Valley Medical Center, Castle Point",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Buffalo Region,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Hawaii, Oahu - Waikiki",Advanced Education in General Dentistry (12 months)
University of Nebraska Medical Center,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Roseman U. Henderson Site, Nevada",Advanced Education in General Dentistry (12 months)
University of Rochester Eastman Institute for Oral Health,Advanced Education in General Dentistry (24 months)
"NYU Langone Dental Medicine - Good Samaritan Atlanta, GA",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Valley Health Systems West Virginia,Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Augusta, GA - Charlie Norwood",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Boston, MA - Whittier Street HC",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Boston, MA - Codman Square HC",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Marietta, OH",Advanced Education in General Dentistry (12 months)
"Johnston Memorial Hospital - Abingdon, VA",Advanced Education in General Dentistry (12 months)
"Johnston Memorial Hospital - Foundry Dental Center, Bessemer, AL",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - San Diego, CA - Gary & Mary West Senior Dental Center",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Albany, Georgia",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Peninsula CHS - Bremerton, WA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Billings, MT - Montana Center for Implant Dentistry (Rubicon)",Advanced Education in General Dentistry (12 months)
"Temple University, Kornberg School of Dentistry",Advanced Education in General Dentistry (12 months)
Regions Hospital,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Redding, CA",Advanced Education in General Dentistry (12 months)
Nova Southeastern University,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Boston, MA - Fenway CHC",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Princess Anne, MD",Advanced Education in General Dentistry (12 months)
"University of the Pacific, Union City",Advanced Education in General Dentistry (12 months)
"Department of Veterans Affairs Medical Center at Togus, Maine",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Southeast Alaska,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Jersey City, NJ",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Memphis, Tennessee",Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Providence",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Santa Barbara, CA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - San Francisco, CA",Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Miami",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Nashville, TN",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - San Jose, CA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Spokane, WA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Seattle, WA",Advanced Education in General Dentistry (12 months)
East Carolina University School of Dental Medicine,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - San Francisco, CA-UCSF Campus",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Winslow, AZ",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Phoenix/Tempe, AZ",Advanced Education in General Dentistry (12 months)
Medical University of South Carolina,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Othello, WA",Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Half Moon Bay, CA",Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Montana Region,Advanced Education in General Dentistry (12 months)
NYU Langone Dental Medicine - Southwest Florida,Advanced Education in General Dentistry (12 months)
"NYU Langone Dental Medicine - Flint, MI",Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Orlando",Advanced Education in General Dentistry (12 months)
"V.A. Medical Center, Dayton",Advanced Education in General Dentistry (12 months)
Stony Brook University Hospital,Anesthesiology
Jacobi Medical Center,Anesthesiology
St. Barnabas Hospital,Anesthesiology
Wyckoff Heights Medical Center,Anesthesiology
Illinois Masonic Medical Center,Anesthesiology
The Ohio State University,Anesthesiology
University of Pittsburgh,Anesthesiology
"NYU Langone Dental Medicine - Brooklyn, NY",Anesthesiology
Case Western Reserve University,Craniofacial Orthodontic Fellowship
Boston University Henry M Goldman School of Dental Medicine,Dental Public Health
University of Rochester Eastman Institute for Oral Health,Dental Public Health
Harvard School of Dental Medicine,Dental Public Health
A.T. Still University,Dental Public Health
"University of California, San Francisco",Dental Public Health
Case Western Reserve University,Dental Public Health
Texas A&M College of Dentistry,Dental Public Health
University of Pittsburgh,Endodontics
Herman Ostrow School of Dentistry of USC,Endodontics
University of Illinois at Chicago,Endodontics
University of North Carolina at Chapel Hill Adams School of Dentistry,Endodontics
Texas A&M College of Dentistry,Endodontics
University of Nebraska Medical Center,Endodontics
"University of California, Los Angeles",Endodontics
Stony Brook University - School of Dental Medicine,Endodontics
University of Detroit Mercy,Endodontics
University of Maryland,Endodontics
West Virginia University,Endodontics
"Temple University, Kornberg School of Dentistry",Endodontics
Oregon Health & Science University,Endodontics
University of Pennsylvania,Endodontics
"NYU Langone Dental Medicine - Brooklyn, NY",Endodontics
Albert Einstein Medical Center,Endodontics
Louisiana State University School of Dentistry,Endodontics
Harvard School of Dental Medicine,Endodontics
University of Texas School of Dentistry at Houston,Endodontics
Boston University Henry M Goldman School of Dental Medicine,Endodontics
Case Western Reserve University,Endodontics
Loma Linda University,Endodontics
Tufts University,Endodontics
Indiana University,Endodontics
Dental College of Georgia at Augusta University,Endodontics
NYU Langone Dental Medicine - Puerto Rico,Endodontics
University of Iowa,Endodontics
"University of California, San Francisco",Endodontics
"University of Missouri-Kansas City, School of Dentistry",Endodontics
"University of Florida, Gainesville",Endodontics
New York University College of Dentistry,Endodontics
University of Louisville,Endodontics
"University of Tennessee Health Science Center, College of Dentistry, Memphis",Endodontics
Virginia Commonwealth University,Endodontics
University of the Pacific Arthur A. Dugoni School of Dentistry,Endodontics
University at Buffalo School of Dental Medicine,Endodontics
University of Texas Health Science Center at San Antonio,Endodontics
Columbia University College of Dental Medicine,Endodontics
Rutgers School of Dental Medicine,Endodontics
Saint Louis University,Endodontics
University of Alabama at Birmingham,Endodontics
University of Minnesota,Endodontics
Southern Illinois University School of Dental Medicine,Endodontics
Harvard School of Dental Medicine,Geriatric Dentistry
Boston University Henry M Goldman School of Dental Medicine,Geriatric Dentistry
University of Alabama at Birmingham,General Practice Residency (12 months)
"University of California, Los Angeles",General Practice Residency (12 months)
Rancho Los Amigos National Rehabilitation Center,General Practice Residency (12 months)
Herman Ostrow School of Dentistry of USC,General Practice Residency (12 months)
Community Medical Center - Fresno California,General Practice Residency (12 months)
Loma Linda Veterans Administration Medical Center,General Practice Residency (12 months)
"V.A. Northern California Health Care System, Mare Island",General Practice Residency (12 months)
V.A. Palo Alto Health Care System,General Practice Residency (12 months)
V.A. San Diego Healthcare System,General Practice Residency (12 months)
"V.A. Medical Center, San Francisco",General Practice Residency (12 months)
V.A. System of Clinics - Sepulveda,General Practice Residency (12 months)
"V.A. Medical Center, West Los Angeles",General Practice Residency (12 months)
Denver Health Medical Center,General Practice Residency (12 months)
University of Colorado School of Dental Medicine,General Practice Residency (12 months)
"V.A. Medical Center, Rocky Mountain Regional",General Practice Residency (12 months)
Danbury Hospital,General Practice Residency (12 months)
Hartford Hospital,General Practice Residency (12 months)
St. Francis Hospital and Medical Center,General Practice Residency (12 months)
Oregon Health & Science University,General Practice Residency (12 months)
Yale-New Haven Hospital,General Practice Residency (12 months)
Christiana Care Health System,General Practice Residency (12 months)
Howard University,General Practice Residency (12 months)
St. Elizabeth's Hospital,General Practice Residency (12 months)
"V.A. Medical Center, DC",General Practice Residency (12 months)
Mountain Area Health Education Center,General Practice Residency (12 months)
University of Miami Hospital,General Practice Residency (12 months) - Optional 2nd Year
"University of California, San Francisco",General Practice Residency (12 months)
Rhode Island Hospital/Samuels Sinclair Dental Center,General Practice Residency (12 months)
Summa Health System,General Practice Residency (12 months)
Dental College of Georgia at Augusta University,General Practice Residency (12 months)
UPMC Presbyterian/Shady Side Dental Center,General Practice Residency (12 months)
Evanston Hospital,General Practice Residency (12 months)
Illinois Masonic Medical Center,General Practice Residency (12 months)
Loyola University Medical Center,General Practice Residency (12 months)
Mercy Medical Center,General Practice Residency (12 months)
Northwestern Memorial Hospital,General Practice Residency (12 months)
New York Medical College,General Practice Residency (12 months)
Jacobi Medical Center,General Practice Residency (12 months)
V.A. Puget Sound Health Care System-Seattle,General Practice Residency (12 months)
Cambridge Health Alliance,General Practice Residency (12 months)
"U. of Minnesota, Fairview",General Practice Residency (12 months)
Richard L. Roudebush Veterans Administration Medical Center,General Practice Residency (12 months)
The University of Iowa Hospital and Clinic,General Practice Residency (12 months)
Swedish Medical Center,General Practice Residency (12 months)
University of Louisville,General Practice Residency (12 months)
Louisiana State University School of Dentistry,General Practice Residency (12 months)
"V.A. Medical Center, Baltimore",General Practice Residency (12 months)
Massachusetts General Hosp.Harvard General Practice Residency in Dentistry,General Practice Residency (12 months)
Tufts University,General Practice Residency (12 months)
University of Michigan Hospital,General Practice Residency (12 months)
Hennepin County Medical Center,General Practice Residency (12 months)
"V.A. Medical Center, Minneapolis",General Practice Residency (12 months)
The University of Mississippi Medical Center,General Practice Residency (12 months)
Mercy Hospital St. Louis,General Practice Residency (12 months)
University of Nebraska Medical Center,General Practice Residency (12 months)
Hackensack University Medical Center,General Practice Residency (12 months)
Jersey City Medical Center,General Practice Residency (12 months)
Jersey Shore University Medical Center,General Practice Residency (12 months)
J. F. K. Medical Center,General Practice Residency (12 months)
Monmouth Medical Center,General Practice Residency (12 months)
Morristown Medical Center,General Practice Residency (12 months)
Hackensack UMC Mountainside,General Practice Residency (12 months)
Newark Beth Israel Medical Center,General Practice Residency (12 months)
Rutgers School of Dental Medicine,General Practice Residency (12 months)
Overlook Hospital,General Practice Residency (12 months)
Robert Wood Johnson University Hospital,General Practice Residency (12 months)
St. Joseph's Regional Medical Center,General Practice Residency (12 months)
V.A. New Jersey Health Care System,General Practice Residency (12 months)
BronxCare Health System,General Practice Residency (12 months)
"One Brooklyn Health (Brookdale, Interfaith, Kingsbrook)",General Practice Residency (12 months)
The Brooklyn Hospital Center,General Practice Residency (12 months)
New York Presbyterian Hospital - Columbia University Medical Center,General Practice Residency (12 months)
Erie County Medical Center,General Practice Residency (12 months) - Optional 2nd Year
Flushing Hospital Medical Center,General Practice Residency (12 months)
The Rochester General Hospital,General Practice Residency (12 months)
Bellevue Hospital Center,General Practice Residency (12 months)
Jamaica Hospital,General Practice Residency (12 months)
Kings County Hospital Center,General Practice Residency (12 months)
St. Luke's Hospital & Health Network,General Practice Residency (12 months)
NYU Langone Dental  Medicine- Brooklyn,General Practice Residency (12 months)
Maimonides Medical Center,General Practice Residency (12 months)
New York Presbyterian- Queens,General Practice Residency (12 months) - Optional 2nd Year
Montefiore Medical Center/Albert Einstein College of Medicine,General Practice Residency (12 months)
The Mount Sinai Hospital,General Practice Residency (12 months)
Nassau University Medical Center,General Practice Residency (12 months)
New York Presbyterian Hospital - Weill Cornell Medical Center,General Practice Residency (12 months)
Northwell Health General Practice Residency,General Practice Residency (12 months)
Queens Hospital,General Practice Residency (12 months)
"Staten Island University Hospital, Northwell Health",General Practice Residency (12 months)
St. Barnabas Hospital,General Practice Residency (12 months)
St. Charles Hospital & Rehabilitation Center,General Practice Residency (12 months)
Ellis Hospital,General Practice Residency (12 months)
St. Joseph Hospital Health Center,General Practice Residency (12 months)
Faxton - St. Luke's Healthcare,General Practice Residency (12 months)
St. Peter's Hospital,General Practice Residency (12 months)
University Medical Center SUNY Stony Brook,General Practice Residency (12 months)
"Univ. Hospital SUNY Health Science Center, Syracuse",General Practice Residency (12 months)
University of Rochester Eastman Institute for Oral Health,General Practice Residency (12 months)
Woodhull Medical Center,General Practice Residency (12 months)
Wyckoff Heights Medical Center,General Practice Residency (12 months)
"V.A. Medical Center, Brooklyn",General Practice Residency (12 months)
"V.A. Medical Center, New York",General Practice Residency (12 months)
"V.A. Medical Center, Northport",General Practice Residency (12 months)
Wake Forest University School of Medicine Bowman Gray Campus,General Practice Residency (24 months)
Carolinas Medical Center,General Practice Residency (12 months)
East Carolina University School of Dental Medicine,General Practice Residency (12 months)
University of North Carolina at Chapel Hill Adams School of Dentistry,General Practice Residency (12 months)
Cleveland Clinic Foundation,General Practice Residency (12 months)
University of Toledo,General Practice Residency (12 months)
MetroHealth Medical Center,General Practice Residency (12 months)
The Ohio State University,General Practice Residency (12 months)
St. Vincent Charity Medical Center,General Practice Residency (12 months)
"V.A. Medical Center, Cleveland",General Practice Residency (12 months)
OU Medical Center,General Practice Residency (12 months)
V.A. Portland Healthcare System,General Practice Residency (12 months)
Abington Memorial Hospital,General Practice Residency (12 months)
Albert Einstein Medical Center,General Practice Residency (12 months)
St. Joseph Medical Center,General Practice Residency (12 months)
York Hospital,General Practice Residency (12 months)
Philadelphia Veteran's Administration Medical Center,General Practice Residency (12 months)
"V.A. Medical Center, Wilkes-Barre",General Practice Residency (12 months)
University of Puerto Rico,General Practice Residency (12 months)
"University of Tennessee Graduate School of Medicine, Knoxville ",General Practice Residency (12 months)
University of Texas School of Dentistry at Houston,General Practice Residency (12 months)
West Virginia University,General Practice Residency (12 months)
"V.A. Medical Center, Houston",General Practice Residency (12 months)
University of Utah,General Practice Residency (12 months)
George E. Wahlen Dept. of Veterans Affairs Medical Center,General Practice Residency (12 months)
V.A. Medical Center/Virginia Commonwealth University,General Practice Residency (24 months)
University of Virginia,General Practice Residency (12 months)
"V.A. Medical Center, Hampton VA",General Practice Residency (12 months)
University of Vermont Medical Center,General Practice Residency (12 months)
University of Washington,General Practice Residency (12 months)
Allegheny General Hospital,General Practice Residency (12 months)
"V.A. Medical Center, West Palm Beach",General Practice Residency (12 months)
Harbor-UCLA Medical Center,General Practice Residency (12 months)
"V.A. Medical Center, Bronx (Mt. Sinai Medical Center)",General Practice Residency (12 months)
"University of Nevada, Las Vegas",General Practice Residency (12 months)
St. Elizabeth Health Center,General Practice Residency (12 months)
"V.A. Medical Center, Dallas",General Practice Residency (12 months)
Berkshire Medical Center,General Practice Residency (12 months)
New York Presbyterian Brooklyn Methodist Hospital,General Practice Residency (12 months)
Prisma Health-Midlands,General Practice Residency (12 months)
V.A. Pittsburgh Healthcare System,General Practice Residency (12 months)
"V.A. Medical Center, Gainesville",General Practice Residency (12 months)
Harlem Hospital Center,General Practice Residency (12 months)
Lincoln Medical & Mental Health Center,General Practice Residency (12 months)
"V.A. Medical Center, Oklahoma City",General Practice Residency (12 months)
Truman Medical Center - Lakewood,General Practice Residency (12 months)
"Jesse Brown V.A. Great Lakes, Chicago, IL",General Practice Residency (12 months)
Lehigh Valley Hospital and Health Network,General Practice Residency (12 months)
OSF St. Francis Medical Center,General Practice Residency (12 months)
Johns Hopkins Hospital,General Practice Residency (12 months)
Carilion Clinic,General Practice Residency (12 months)
St. Joseph Mercy Oakland,General Practice Residency (12 months)
"NYU Langone Dental Medicine -  Long Island, NY",General Practice Residency (12 months)
"V.A. Medical Center - Lebanon, PA",General Practice Residency (12 months)
Roswell Park Cancer Institute,General Practice Residency (12 months)
Meharry Medical College,General Practice Residency (12 months)
University of Arkansas for Medical Sciences,General Practice Residency (12 months)
Coney Island Hospital,General Practice Residency (12 months) - Optional 2nd Year
Cabell Huntington Hospital/MUSOM,General Practice Residency (12 months)
"V.A. Medical Center, Boston",General Practice Residency (12 months)
Englewood Hospital and Medical Center,General Practice Residency (12 months) - Optional 2nd Year
Providence Sacred Heart Medical Center,General Practice Residency (12 months)
Alameda Health System,General Practice Residency (12 months)
Harvard School of Dental Medicine,Implant Dentistry
Boston University Henry M Goldman School of Dental Medicine,Implant Dentistry
Tufts University,Implant Dentistry
Boston University Henry M Goldman School of Dental Medicine,Oral Biology
Harvard School of Dental Medicine,Oral Biology
"University of Nevada, Las Vegas",Oral Biology
Tufts University,Orofacial Pain (2 Years)
University of Michigan Hospital,Orofacial Pain
University of Minnesota,Orofacial Pain
University of Pennsylvania,Oral Medicine
Carolinas Medical Center,Oral Medicine
"University of California, San Francisco",Oral Medicine
Harvard School of Dental Medicine,Oral Medicine
University of Washington,Oral Medicine
Herman Ostrow School of Dentistry of USC,Orofacial Pain (2 Years)
University of North Carolina at Chapel Hill Adams School of Dentistry,Orofacial Pain (2 Years)
Tufts University,Oral Medicine
"University of California, Los Angeles",Orofacial Pain (2 Years)
University of Rochester Eastman Institute for Oral Health,Orofacial Pain
Harvard School of Dental Medicine,Oral and Maxillofacial Pathology
"University of Florida, Gainesville",Oral and Maxillofacial Pathology
The Mount Sinai Hospital,Oral and Maxillofacial Pathology
University of Pittsburgh,Oral and Maxillofacial Pathology
Texas A&M College of Dentistry,Oral and Maxillofacial Pathology
University of Alabama at Birmingham,Oral and Maxillofacial Surgery
Detroit Receiving Hospital,Oral and Maxillofacial Surgery - (4 years)
"University of Missouri-Kansas City, School of Dentistry",Oral and Maxillofacial Surgery - (4 years)
Meharry Medical College,Oral and Maxillofacial Surgery
Boston University Henry M Goldman School of Dental Medicine,Oral and Maxillofacial Surgery - (1 Yr. Internship)
Texas A&M College of Dentistry,Oral and Maxillofacial Surgery - (6 years)
Christiana Care Health System,Oral and Maxillofacial Surgery - (1 Yr. Internship)
Texas A&M College of Dentistry,Oral and Maxillofacial Surgery
New York University College of Dentistry/Bellevue Hospital Center,Oral and Maxillofacial Surgery - (6 years)
Boston University Henry M Goldman School of Dental Medicine,Oral and Maxillofacial Surgery - (6 years)
Nova Southeastern University,Oral and Maxillofacial Surgery
"University of California, Los Angeles (Intern)",Oral and Maxillofacial Surgery
Geisinger Medical Center,Oral and Maxillofacial Surgery - (4 years)
University of Connecticut,Oral and Maxillofacial Surgery - (4 years)
Zucker School of Medicine at Hofstra/Northwell at Long Island Jewish Medical Center,Oral and Maxillofacial Surgery - (6 years)
University of Rochester Eastman Institute for Oral Health,Oral and Maxillofacial Surgery - (6 years)
"Temple University, Kornberg School of Dentistry",Oral and Maxillofacial Surgery
University of Illinois at Chicago,Oral and Maxillofacial Surgery - (6 years)
University of Illinois at Chicago,Oral and Maxillofacial Surgery - (1 Yr. Internship)
Louisiana State Health Sciences Center,Oral and Maxillofacial Surgery - (4 years)
Highland Hospital,Oral and Maxillofacial Surgery
Harbor-UCLA Medical Center,Oral and Maxillofacial Surgery
"University of California, Los Angeles (Residency)",Oral and Maxillofacial Surgery
"University of California, San Francisco",Oral and Maxillofacial Surgery
Herman Ostrow School of Dentistry of USC,Oral and Maxillofacial Surgery
UCSF-Fresno Oral & Maxillofacial Surgery Residency Program,Oral and Maxillofacial Surgery
Denver Health Medical Center,Oral and Maxillofacial Surgery
Yale-New Haven Hospital,Oral and Maxillofacial Surgery
University of Connecticut,Oral and Maxillofacial Surgery - (6 years)
Christiana Care Health System,Oral and Maxillofacial Surgery
Loma Linda University,Oral and Maxillofacial Surgery - (6 years)
Howard University,Oral and Maxillofacial Surgery
Washington Hospital Center,Oral and Maxillofacial Surgery
Jackson Memorial Hospital,Oral and Maxillofacial Surgery
"University of Florida, Gainesville",Oral and Maxillofacial Surgery - (6 years)
"University of Florida, Jacksonville",Oral and Maxillofacial Surgery
Emory University,Oral and Maxillofacial Surgery - (4 years)
Dental College of Georgia at Augusta University,Oral and Maxillofacial Surgery
Mount Sinai BI / Jacobi / Albert Einstein College of Medicine,Oral and Maxillofacial Surgery
Carle Foundation Hospital,Oral and Maxillofacial Surgery
Cook County Hospital,Oral and Maxillofacial Surgery
