Program Name,Program Type,url
St. Elizabeth's Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/791
"V.A. Medical Center, DC",General Practice Residency (12 months),https://programpages.passweb.org/view/635
Mountain Area Health Education Center,General Practice Residency (12 months),https://programpages.passweb.org/view/746
University of Miami Hospital,General Practice Residency (12 months) - Optional 2nd Year,https://programpages.passweb.org/view/644
"University of California, San Francisco",General Practice Residency (12 months),https://dentistry.ucsf.edu/programs/post-grad/gpr
Rhode Island Hospital/Samuels Sinclair Dental Center,General Practice Residency (12 months),https://www.lifespan.org/centers-services/samuels-sinclair-dental-center/residency-program
Summa Health System,General Practice Residency (12 months),https://programpages.passweb.org/view/436
Dental College of Georgia at Augusta University,General Practice Residency (12 months),https://www.augusta.edu/dentalmedicine/academics/adved/gp.php
UPMC Presbyterian/Shady Side Dental Center,General Practice Residency (12 months),https://www.dental.pitt.edu/education/advanced-dental-education-and-residency-programs/general-practice-residency
Evanston Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/758
Illinois Masonic Medical Center,General Practice Residency (12 months),https://www.advocatehealth.com/education/residency-opportunities/advocate-illinois-masonic-medical-center/residency/dentistry/
Loyola University Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/710
Mercy Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/693
Northwestern Memorial Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/637
New York Medical College,General Practice Residency (12 months),https://www.nymc.edu/departments/academic-departments/school-of-medicine/dental-medicine/residency-programs/general-practice-residency/
Jacobi Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/852
V.A. Puget Sound Health Care System-Seattle,General Practice Residency (12 months),https://programpages.passweb.org/view/833
Cambridge Health Alliance,General Practice Residency (12 months),https://www.challiance.org/academics/dental-residency
"U. of Minnesota, Fairview",General Practice Residency (12 months),https://dentistry.umn.edu/degrees-programs/graduate-specialty-and-advanced-education-programs/general-practice-residency
Richard L. Roudebush Veterans Administration Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/566
The University of Iowa Hospital and Clinic,General Practice Residency (12 months),https://gme.medicine.uiowa.edu/hospital-dentistry-general-practice-residency
Swedish Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/459
University of Louisville,General Practice Residency (12 months),https://louisville.edu/dentistry/residency/generalpractice
Louisiana State University School of Dentistry,General Practice Residency (12 months),https://www.lsusd.lsuhsc.edu/fsgpr.html
"V.A. Medical Center, Baltimore",General Practice Residency (12 months),https://programpages.passweb.org/view/750
Massachusetts General Hosp.Harvard General Practice Residency in Dentistry,General Practice Residency (12 months),https://www.massgeneral.org/dentistry/education-and-training/general-practice-residency-in-dentistry
Tufts University,General Practice Residency (12 months),https://dental.tufts.edu/academics/postgraduate-programs/general-practice-residency
University of Michigan Hospital,General Practice Residency (12 months),https://medicine.umich.edu/dept/surgery/surgical-specialties/oral-maxillofacial-surgery-hospital-dentistry/training/hospital-dentistry-general-practice-residency
Hennepin County Medical Center,General Practice Residency (12 months),https://www.hennepinhealthcare.org/medical-education-training/residency-programs/dentistry-residency-program/
"V.A. Medical Center, Minneapolis",General Practice Residency (12 months),https://programpages.passweb.org/view/811
The University of Mississippi Medical Center,General Practice Residency (12 months),https://www.umc.edu/sod/Departments/Advanced-General-Dentistry/General-Practice-Residency1.html
Mercy Hospital St. Louis,General Practice Residency (12 months),https://programpages.passweb.org/view/951
University of Nebraska Medical Center,General Practice Residency (12 months),https://www.unmc.edu/dentistry/programs/postgraduate/gpr.html
Hackensack University Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/808
Jersey City Medical Center,General Practice Residency (12 months),https://www.rwjbh.org/for-healthcare-professionals/medical-education/jersey-city-medical-center/dental-medicine-residency/
Jersey Shore University Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/475
J. F. K. Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/881
Monmouth Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/473
Morristown Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/484
Hackensack UMC Mountainside,General Practice Residency (12 months),https://programpages.passweb.org/view/767
Newark Beth Israel Medical Center,General Practice Residency (12 months),https://www.rwjbh.org/for-healthcare-professionals/medical-education/newark-beth-israel-medical-center/dental-medicine-residency/
Rutgers School of Dental Medicine,General Practice Residency (12 months),https://sdm.rutgers.edu/academics/departments/diagnostic-sciences/postgraduate-education/general-practice-residency
Overlook Hospital,General Practice Residency (12 months),https://www.atlantichealth.org/professionals-medical-education/residencies-fellowships/dentistry-residency-overlook-medical-center.html
Robert Wood Johnson University Hospital,General Practice Residency (12 months),https://www.rwjbh.org/for-healthcare-professionals/medical-education/robert-wood-johnson-university-hospital/dental-residency/
St. Joseph's Regional Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/670
V.A. New Jersey Health Care System,General Practice Residency (12 months),https://programpages.passweb.org/view/432
BronxCare Health System,General Practice Residency (12 months),https://programpages.passweb.org/view/889
"One Brooklyn Health (Brookdale, Interfaith, Kingsbrook)",General Practice Residency (12 months),https://programpages.passweb.org/view/427
The Brooklyn Hospital Center,General Practice Residency (12 months),https://programpages.passweb.org/view/982
New York Presbyterian Hospital - Columbia University Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/765
Erie County Medical Center,General Practice Residency (12 months) - Optional 2nd Year,https://www.ecmc.edu/careers/physician-recruitment-and-residency-opportunities/dental-general-practice-residency/
Flushing Hospital Medical Center,General Practice Residency (12 months),https://flushinghospital.org/education/dental-residency/
The Rochester General Hospital,General Practice Residency (12 months),https://education.rochesterregional.org/residencies/rgh-dentistry/
Bellevue Hospital Center,General Practice Residency (12 months),https://programpages.passweb.org/view/1052
Jamaica Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/707
Kings County Hospital Center,General Practice Residency (12 months),https://programpages.passweb.org/view/816
St. Luke's Hospital & Health Network,General Practice Residency (12 months),https://programpages.passweb.org/view/694
NYU Langone Dental  Medicine- Brooklyn,General Practice Residency (12 months),https://www.nyulangonedental.org/programs/gpr
Maimonides Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/786
New York Presbyterian- Queens,General Practice Residency (12 months) - Optional 2nd Year,https://programpages.passweb.org/view/965
Montefiore Medical Center/Albert Einstein College of Medicine,General Practice Residency (12 months),https://programpages.passweb.org/view/603
The Mount Sinai Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/895
Nassau University Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/807
New York Presbyterian Hospital - Weill Cornell Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/685
Northwell Health General Practice Residency,General Practice Residency (12 months),https://programpages.passweb.org/view/455
Queens Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/522
"Staten Island University Hospital, Northwell Health",General Practice Residency (12 months),https://professionals.northwell.edu/graduate-medical-education/residency-dental-medicine-staten-island
St. Barnabas Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/465
St. Charles Hospital & Rehabilitation Center,General Practice Residency (12 months),https://programpages.passweb.org/view/665
Ellis Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/608
St. Joseph Hospital Health Center,General Practice Residency (12 months),https://programpages.passweb.org/view/670
Faxton - St. Luke's Healthcare,General Practice Residency (12 months),https://programpages.passweb.org/view/950
St. Peter's Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/488
University Medical Center SUNY Stony Brook,General Practice Residency (12 months),https://programpages.passweb.org/view/997
"Univ. Hospital SUNY Health Science Center, Syracuse",General Practice Residency (12 months),https://www.upstate.edu/surgery/education/residency/dentistry/
University of Rochester Eastman Institute for Oral Health,General Practice Residency (12 months),https://www.urmc.rochester.edu/dentistry/education/general-practice-residency.aspx
Woodhull Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/837
Wyckoff Heights Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/656
"V.A. Medical Center, Brooklyn",General Practice Residency (12 months),https://programpages.passweb.org/view/512
"V.A. Medical Center, New York",General Practice Residency (12 months),https://programpages.passweb.org/view/930
"V.A. Medical Center, Northport",General Practice Residency (12 months),https://programpages.passweb.org/view/479
Wake Forest University School of Medicine Bowman Gray Campus,General Practice Residency (24 months),https://school.wakehealth.edu/education-and-training/residencies-and-fellowships/dentistry-residency
Carolinas Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/983
East Carolina University School of Dental Medicine,General Practice Residency (12 months),https://dental.ecu.edu/general-practice-residency/
University of North Carolina at Chapel Hill Adams School of Dentistry,General Practice Residency (12 months),https://dentistry.unc.edu/advanced-dental-education/gpr/
Cleveland Clinic Foundation,General Practice Residency (12 months),https://programpages.passweb.org/view/961
University of Toledo,General Practice Residency (12 months),https://www.utoledo.edu/med/depts/dentistry/residency_gpr
MetroHealth Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/496
The Ohio State University,General Practice Residency (12 months),https://dentistry.osu.edu/prospective-students/advanced-education-graduate-programs/mscertificate-programs/general-practice-0
St. Vincent Charity Medical Center,General Practice Residency (12 months),https://cdiohio.org/general-practice-residency-gpr/
"V.A. Medical Center, Cleveland",General Practice Residency (12 months),https://programpages.passweb.org/view/492
OU Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/658
V.A. Portland Healthcare System,General Practice Residency (12 months),https://programpages.passweb.org/view/611
Abington Memorial Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/469
Albert Einstein Medical Center,General Practice Residency (12 months),https://www.einstein.edu/education/residency/dental-general
St. Joseph Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/917
York Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/483
Philadelphia Veteran's Administration Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/902
"V.A. Medical Center, Wilkes-Barre",General Practice Residency (12 months),https://programpages.passweb.org/view/636
University of Puerto Rico,General Practice Residency (12 months),https://programpages.passweb.org/view/865
"University of Tennessee Graduate School of Medicine, Knoxville ",General Practice Residency (12 months),http://gsm.utmck.edu/dentistry/program.cfm
University of Texas School of Dentistry at Houston,General Practice Residency (12 months),https://dentistry.uth.edu/students/advanced-education/programs/
West Virginia University,General Practice Residency (12 months),https://dentistry.wvu.edu/apply-now/general-practice-residency-program/
"V.A. Medical Center, Houston",General Practice Residency (12 months),https://www.va.gov/houston-health-care/work-with-us/internships-and-fellowships/general-practice-residency-in-dentistry/
University of Utah,General Practice Residency (12 months),https://dentistry.utah.edu/education/general-practice-residency
George E. Wahlen Dept. of Veterans Affairs Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/491
V.A. Medical Center/Virginia Commonwealth University,General Practice Residency (24 months),https://programpages.passweb.org/view/834
University of Virginia,General Practice Residency (12 months),https://programpages.passweb.org/view/774
"V.A. Medical Center, Hampton VA",General Practice Residency (12 months),https://programpages.passweb.org/view/507
University of Vermont Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/896
University of Washington,General Practice Residency (12 months),https://dental.washington.edu/dept-oms/gpr/
Allegheny General Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/718
"V.A. Medical Center, West Palm Beach",General Practice Residency (12 months),https://programpages.passweb.org/view/592
Harbor-UCLA Medical Center,General Practice Residency (12 months),https://www.harbor-ucla.org/surgery/education/general-practice-residency-hospital-dentistry-program/
"V.A. Medical Center, Bronx (Mt. Sinai Medical Center)",General Practice Residency (12 months),https://programpages.passweb.org/view/787
"University of Nevada, Las Vegas",General Practice Residency (12 months),https://www.unlv.edu/program/general-practice-residency
St. Elizabeth Health Center,General Practice Residency (12 months),https://programpages.passweb.org/view/477
"V.A. Medical Center, Dallas",General Practice Residency (12 months),https://programpages.passweb.org/view/548
Berkshire Medical Center,General Practice Residency (12 months),https://programpages.passweb.org/view/836
New York Presbyterian Brooklyn Methodist Hospital,General Practice Residency (12 months),https://programpages.passweb.org/view/740
Prisma Health-Midlands,General Practice Residency (12 months),https://programpages.passweb.org/view/862
V.A. Pittsburgh Healthcare System,General Practice Residency (12 months),https://programpages.passweb.org/view/558
"V.A. Medical Center, Gainesville",General Practice Residency (12 months),https://programpages.passweb.org/view/743
Harlem Hospital Center,General Practice Residency (12 months),https://programpages.passweb.org/view/805
Lincoln Medical & Mental Health Center,General Practice Residency (12 months),https://programpages.passweb.org/view/463
"V.A. Medical Center, Oklahoma City",General Practice Residency (12 months),https://programpages.passweb.org/view/476
Truman Medical Center - Lakewood,General Practice Residency (12 months),https://www.universityhealthkc.org/professional-education/dental-residency/
"Jesse Brown V.A. Great Lakes, Chicago, IL",General Practice Residency (12 months),https://www.visn12.va.gov/programs/dental/GPR.asp
Lehigh Valley Hospital and Health Network,General Practice Residency (12 months),https://www.lvhn.org/education/residency-and-fellowship-opportunities/general-practice-dentistry-residency-program
OSF St. Francis Medical Center,General Practice Residency (12 months),https://www.osfhealthcare.org/saint-francis/about/education/dental-residency/
Johns Hopkins Hospital,General Practice Residency (12 months),https://www.hopkinsmedicine.org/otolaryngology/specialty_areas/oral_maxillofacial_surgery_dentistry/education/residency/
Carilion Clinic,General Practice Residency (12 months),https://programpages.passweb.org/view/1000
St. Joseph Mercy Oakland,General Practice Residency (12 months),https://www.stjoeshealth.org/graduate-medical-education/st-joseph-mercy-oakland/general-practice-residency-in-dentistry/
"NYU Langone Dental Medicine -  Long Island, NY",General Practice Residency (12 months),https://www.nyulangonedental.org/programs/gpr
"V.A. Medical Center - Lebanon, PA",General Practice Residency (12 months),https://www.va.gov/dental/residency.asp
Roswell Park Cancer Institute,General Practice Residency (12 months),https://www.roswellpark.org/education/residency-programs/dentistry
Meharry Medical College,General Practice Residency (12 months),https://home.mmc.edu/education/graduate-medical-education/general-practice-residency/
University of Arkansas for Medical Sciences,General Practice Residency (12 months),https://healthprofessions.uams.edu/programs/dental-gpr/
Coney Island Hospital,General Practice Residency (12 months) - Optional 2nd Year,https://programpages.passweb.org/view/1594
Cabell Huntington Hospital/MUSOM,General Practice Residency (12 months),https://jcesom.marshall.edu/residents-fellows/programs/general-practice-residency-dental/
"V.A. Medical Center, Boston",General Practice Residency (12 months),https://hsdm.harvard.edu/general-practice-residency-va-hospital
Englewood Hospital and Medical Center,General Practice Residency (12 months) - Optional 2nd Year,https://www.englewoodhealth.org/dental-residency-program
Providence Sacred Heart Medical Center,General Practice Residency (12 months),https://gme.providence.org/washington/dental-pastoral-and-laboratory-programs/dental-residency-program/
Alameda Health System,General Practice Residency (12 months),https://programpages.passweb.org/view/1888
Harvard School of Dental Medicine,Implant Dentistry,https://hsdm.harvard.edu/implant-dentistry
Boston University Henry M Goldman School of Dental Medicine,Implant Dentistry,https://www.bu.edu/dental/academics/departments/perio/implantology-fellowship-program/
Tufts University,Implant Dentistry,https://dental.tufts.edu/academics/postgraduate-programs/implant-dentistry-program
Boston University Henry M Goldman School of Dental Medicine,Oral Biology,https://www.bu.edu/academics/sdm/programs/oral-biology/
Harvard School of Dental Medicine,Oral Biology,https://hsdm.harvard.edu/phd-biological-sciences-dental-medicine
"University of Nevada, Las Vegas",Oral Biology,https://www.unlv.edu/degree/phd-oral-biology
Tufts University,Orofacial Pain (2 Years),https://dental.tufts.edu/academics/postgraduate-programs/advanced-education-orofacial-pain
University of Michigan Hospital,Orofacial Pain,https://medicine.umich.edu/dept/surgery/surgical-specialties/oral-maxillofacial-surgery-hospital-dentistry/training/orofacial-pain-residency
University of Minnesota,Orofacial Pain,https://dentistry.umn.edu/degrees-programs/specialty-and-advanced-education-programs/orofacial-pain
University of Pennsylvania,Oral Medicine,https://www.dental.upenn.edu/admissions-academics/graduate-dental-education-programs/oral-medicine-program/
Carolinas Medical Center,Oral Medicine,https://atriumhealth.org/education/graduate-medical-education/physician-residencies/general-practice-dentistry-and-oral-medicine/omr
"University of California, San Francisco",Oral Medicine,https://dentistry.ucsf.edu/programs/post-grad/oral-medicine
Harvard School of Dental Medicine,Oral Medicine,https://hsdm.harvard.edu/oral-medicine
University of Washington,Oral Medicine,https://dental.washington.edu/dept-oral-med/
Herman Ostrow School of Dentistry of USC,Orofacial Pain (2 Years),https://ostrowon.usc.edu/orofacial-pain-and-oral-medicine/
University of North Carolina at Chapel Hill Adams School of Dentistry,Orofacial Pain (2 Years),https://dentistry.unc.edu/advanced-dental-education/orofacial-pain/
Tufts University,Oral Medicine,https://dental.tufts.edu/patient-care/specialty-clinics/oral-medicine-clinic
"University of California, Los Angeles",Orofacial Pain (2 Years),https://dentistry.ucla.edu/academics-admissions/postgraduate-and-residency-training-programs/orofacial-pain-and-dysfunction
University of Rochester Eastman Institute for Oral Health,Orofacial Pain,https://www.urmc.rochester.edu/dentistry/education/orofacial-pain.aspx
Harvard School of Dental Medicine,Oral and Maxillofacial Pathology,https://hsdm.harvard.edu/oral-and-maxillofacial-pathology
"University of Florida, Gainesville",Oral and Maxillofacial Pathology,https://pathlabs.ufl.edu/about-us/pathologists/anatomic-pathology/oral-maxillofacial-pathology/
The Mount Sinai Hospital,Oral and Maxillofacial Pathology,https://www.mountsinai.org/care/ent/services/oral-maxillofacial-surgery/treatments/oral-pathology
University of Pittsburgh,Oral and Maxillofacial Pathology,https://www.dental.pitt.edu/dental-professionals/diagnostic-oral-and-maxillofacial-pathology-services
Texas A&M College of Dentistry,Oral and Maxillofacial Pathology,https://dentistry.tamu.edu/departments/diagnostic/training-programs/oral-pathology.html
University of Alabama at Birmingham,Oral and Maxillofacial Surgery,https://www.uab.edu/dentistry/home/departments/omfs
Detroit Receiving Hospital,Oral and Maxillofacial Surgery - (4 years),https://www.dmc.org/health-professionals/training-programs/oral-and-maxillofacial-surgery
"University of Missouri-Kansas City, School of Dentistry",Oral and Maxillofacial Surgery - (4 years),https://dentistry.umkc.edu/academics/oral-maxillofacial-surgery/
Meharry Medical College,Oral and Maxillofacial Surgery,https://home.mmc.edu/education/graduate-medical-education/oral-maxillofacial-surgery-residency/
Boston University Henry M Goldman School of Dental Medicine,Oral and Maxillofacial Surgery - (1 Yr. Internship),https://www.bu.edu/dental/academics/departments/omfs/education/internship/
Texas A&M College of Dentistry,Oral and Maxillofacial Surgery - (6 years),https://dentistry.tamu.edu/departments/oral-surgery/residency.html
Christiana Care Health System,Oral and Maxillofacial Surgery - (1 Yr. Internship),https://residency.christianacare.org/oms
Texas A&M College of Dentistry,Oral and Maxillofacial Surgery,https://dentistry.tamu.edu/departments/oral-surgery/index.html
New York University College of Dentistry/Bellevue Hospital Center,Oral and Maxillofacial Surgery - (6 years),https://dental.nyu.edu/academicprograms/advanced-education-programs/oms6.html
Boston University Henry M Goldman School of Dental Medicine,Oral and Maxillofacial Surgery - (6 years),https://www.bu.edu/dental/academics/departments/omfs/education/residency-training/6-year-md-integrated-program/
Nova Southeastern University,Oral and Maxillofacial Surgery,https://dental.nova.edu/oralsurgery/index.html
"University of California, Los Angeles (Intern)",Oral and Maxillofacial Surgery,https://dentistry.ucla.edu/academics-admissions/postgraduate-and-residency-training-programs/oral-and-maxillofacial-surgery-internship
Geisinger Medical Center,Oral and Maxillofacial Surgery - (4 years),https://www.geisinger.edu/education/residencies-fellowships/residencies/oral-and-maxillofacial-surgery-residency
University of Connecticut,Oral and Maxillofacial Surgery - (4 years),https://dentalmedicine.uconn.edu/divisions/maxiofacial-surgery/
Zucker School of Medicine at Hofstra/Northwell at Long Island Jewish Medical Center,Oral and Maxillofacial Surgery - (6 years),https://professionals.northwell.edu/graduate-medical-education/residency-oral-maxillofacial-surgery-nsuh-lij
University of Rochester Eastman Institute for Oral Health,Oral and Maxillofacial Surgery - (6 years),https://www.urmc.rochester.edu/dentistry/education/oral-and-maxillofacial-surgery.aspx
"Temple University, Kornberg School of Dentistry",Oral and Maxillofacial Surgery,https://medicine.temple.edu/education/graduate-medical-education/residencies-fellowships/oral-maxillofacial-surgery-residency
University of Illinois at Chicago,Oral and Maxillofacial Surgery - (6 years),https://dentistry.uic.edu/programs/advanced-specialty-programs/oral-and-maxillofacial-surgery-residency-training-program/
University of Illinois at Chicago,Oral and Maxillofacial Surgery - (1 Yr. Internship),https://dentistry.uic.edu/academics/academic-departments/department-of-oral-maxillofacial-surgery/oral-maxillofacial-surgery-internships-externships-and-observerships/
Louisiana State Health Sciences Center,Oral and Maxillofacial Surgery - (4 years),https://www.lsusd.lsuhsc.edu/omfs/
Highland Hospital,Oral and Maxillofacial Surgery,https://www.highlandomfs.com/
Harbor-UCLA Medical Center,Oral and Maxillofacial Surgery,https://www.harbor-ucla.org/surgery/education/omfs/
"University of California, Los Angeles (Residency)",Oral and Maxillofacial Surgery,https://dentistry.ucla.edu/academics-admissions/postgraduate-and-residency-training-programs/oral-and-maxillofacial-surgery
"University of California, San Francisco",Oral and Maxillofacial Surgery,https://dentistry.ucsf.edu/programs/post-grad/omfs
Herman Ostrow School of Dentistry of USC,Oral and Maxillofacial Surgery,https://dentistry.usc.edu/oral-maxillofacial-surgery-faculty-residents/
UCSF-Fresno Oral & Maxillofacial Surgery Residency Program,Oral and Maxillofacial Surgery,https://www.fresno.ucsf.edu/oral-and-maxillofacial-surgery/
Denver Health Medical Center,Oral and Maxillofacial Surgery,https://www.denverhealth.org/services/surgery/oral-maxillofacial-surgery
Yale-New Haven Hospital,Oral and Maxillofacial Surgery,https://www.ynhh.org/services/dentistry/oral-maxillofacial
University of Connecticut,Oral and Maxillofacial Surgery - (6 years),https://dentalmedicine.uconn.edu/divisions/maxiofacial-surgery/
Christiana Care Health System,Oral and Maxillofacial Surgery,https://residency.christianacare.org/oms
Loma Linda University,Oral and Maxillofacial Surgery - (6 years),https://dentistry.llu.edu/admissions/advanced-dental-education-programs/oral-and-maxillofacial-surgery
Howard University,Oral and Maxillofacial Surgery,https://medicine.howard.edu/education/graduate-medical-education-gme/residency/oral-and-maxillofacial-surgery
Washington Hospital Center,Oral and Maxillofacial Surgery,https://www.medstarhealth.org/services/oral-surgery
Jackson Memorial Hospital,Oral and Maxillofacial Surgery,https://graduate.jacksonhealth.org/program/oral-maxillofacial-surgery/
"University of Florida, Gainesville",Oral and Maxillofacial Surgery - (6 years),https://dental.ufl.edu/departments/oral-maxillofacial-surgery/education-and-training/6-year-residency-program/
"University of Florida, Jacksonville",Oral and Maxillofacial Surgery,https://omfs.med.jax.ufl.edu/oral-maxillofacial-surgery-residency/
Emory University,Oral and Maxillofacial Surgery - (4 years),http://www.surgery.emory.edu/training/omfs-residency.html
Dental College of Georgia at Augusta University,Oral and Maxillofacial Surgery,https://www.augusta.edu/dentalmedicine/academics/departments/oralsurgery/
Mount Sinai BI / Jacobi / Albert Einstein College of Medicine,Oral and Maxillofacial Surgery,https://programpages.passweb.org/view/422
Carle Foundation Hospital,Oral and Maxillofacial Surgery,https://carle.org/for-providers/residencies-and-fellowships/Champaign-Urbana/Oral-and-Maxillofacial-Surgery-Residency
Cook County Hospital,Oral and Maxillofacial Surgery,https://cookcountyhealth.org/education-research/residency-programs/oral-surgery/
Loyola University Medical Center,Oral and Maxillofacial Surgery,https://www.loyolamedicine.org/find-a-condition-or-service/oral-health-dental-and-maxillofacial-surgery/
Thomas Jefferson University Hospital,Oral and Maxillofacial Surgery - (6 years),https://www.jefferson.edu/university/jmc/departments/omfs/residency/overview.html
The University of Mississippi Medical Center,Oral and Maxillofacial Surgery - (4 years),https://www.umc.edu/sod/Departments/Oral-Maxillofacial-Surgery-and-Pathology/Programs/OMS-Residency-Program/OMS-Residency-Program.html
University of Illinois at Chicago,Oral and Maxillofacial Surgery - (4 years),https://dentistry.uic.edu/programs/advanced-specialty-programs/oral-and-maxillofacial-surgery-residency-training-program/
Indiana University,Oral and Maxillofacial Surgery,https://dentistry.iu.edu/academics/academic-departments/oral-surgery/index.html
The University of Iowa Hospital and Clinic,Oral and Maxillofacial Surgery,https://uihc.org/oral-and-maxillofacial-surgery-clinic
University of Kentucky,Oral and Maxillofacial Surgery,https://dentistry.uky.edu/oral-and-maxillofacial-surgery
University of Louisville,Oral and Maxillofacial Surgery,https://louisville.edu/dentistry/residency/oralsurgery
Louisiana State University School of Dentistry,Oral and Maxillofacial Surgery,https://www.lsusd.lsuhsc.edu/omfs/
Louisiana State Health Sciences Center,Oral and Maxillofacial Surgery - (6 years),https://www.lsuhs.edu/departments/school-of-medicine/oral-maxillofacial-surgery/residency/omfs-residency
University of Maryland,Oral and Maxillofacial Surgery - (6 years),https://www.dental.umaryland.edu/oms/programs/residency/
Boston University Henry M Goldman School of Dental Medicine,Oral and Maxillofacial Surgery,https://www.bu.edu/dental/academics/departments/omfs/
Massachusetts General Hospital,Oral and Maxillofacial Surgery,https://www.massgeneral.org/omfs
Ascension Macomb-Oakland Hospital,Oral and Maxillofacial Surgery,https://amomfs.com/
"University of Florida, Gainesville",Oral and Maxillofacial Surgery - (4 years),https://dental.ufl.edu/departments/oral-maxillofacial-surgery/education-and-training/oral-maxillofacial-surgery-residency-program-2/
University of Arizona College of Medicine-Phoenix,Oral and Maxillofacial Surgery - (4 years),https://phoenixmed.arizona.edu/oral-maxillofacial-surgery-residency
University of Michigan,Oral and Maxillofacial Surgery,https://medicine.umich.edu/dept/surgery/surgical-specialties/oral-maxillofacial-surgery-hospital-dentistry
Mayo Clinic School of Graduate Medical Education,Oral and Maxillofacial Surgery,https://college.mayo.edu/academics/residencies-and-fellowships/oral-and-maxillofacial-surgery-residency-md-oms-minnesota/
University of Minnesota,Oral and Maxillofacial Surgery - (4 years),https://programpages.passweb.org/view/612
University of Maryland,Oral and Maxillofacial Surgery - (4 years),https://www.dental.umaryland.edu/oms/programs/residency/
"University of Missouri-Kansas City, School of Dentistry",Oral and Maxillofacial Surgery - (6 years),https://dentistry.umkc.edu/academics/oral-maxillofacial-surgery/
University of Nebraska Medical Center,Oral and Maxillofacial Surgery,https://www.unmc.edu/surgery/divisions/oralmax/
St. Joseph's Regional Medical Center,Oral and Maxillofacial Surgery,https://www.stjosephshealth.org/education/itemlist/category/799-oral-and-maxillofacial-surgery
Rutgers School of Dental Medicine,Oral and Maxillofacial Surgery - (6 years),https://sdm.rutgers.edu/academics/departments/oral-maxillofacial-surgery/residency
Rutgers School of Dental Medicine,Oral and Maxillofacial Surgery - (4 years),https://sdm.rutgers.edu/academics/departments/oral-maxillofacial-surgery/residency
Montefiore Medical Center/Albert Einstein College of Medicine,Oral and Maxillofacial Surgery,https://www.montefioredental.com/for-dental-professionals/dental-residency-programs/oral-and-maxillofacial-surgery-residency
New York University College of Dentistry/Bellevue Hospital Center,Oral and Maxillofacial Surgery - (4 years),https://dental.nyu.edu/academicprograms/advanced-education-programs/oms4.html
The Brooklyn Hospital Center,Oral and Maxillofacial Surgery,https://www.tbh.org/professional-medial-education/graduate-medical-education/dentistry-oral-maxillofacial-surgery
New York Presbyterian Hospital - Columbia University Medical Center,Oral and Maxillofacial Surgery,https://www.dental.columbia.edu/education/academic-sections-divisions/section-hospital-dentistry/division-oral-and-maxillofacial-surgery
Harlem Hospital Center,Oral and Maxillofacial Surgery,https://www.cumc.columbia.edu/harlem-hospital/residency-programs/dentistry
Kings County Hospital Center,Oral and Maxillofacial Surgery,https://programpages.passweb.org/view/449
Lincoln Medical & Mental Health Center,Oral and Maxillofacial Surgery,https://www.lincolnomfs.com/
Zucker School of Medicine at Hofstra/Northwell at Long Island Jewish Medical Center,Oral and Maxillofacial Surgery - (4 years),https://professionals.northwell.edu/graduate-medical-education/residency-oral-maxillofacial-surgery-nsuh-lij
New York Medical College: Manhattan-Westchester Consortium,Oral and Maxillofacial Surgery,https://www.nymc.edu/departments/academic-departments/school-of-medicine/dental-medicine/residency-programs/oral-and-maxillofacial-surgery-residency/
The Mount Sinai Hospital,Oral and Maxillofacial Surgery - (6 years),https://icahn.mssm.edu/education/residencies-fellowships/list/oral-and-maxillofacial-surgery-omfs-residency
